Node1,Node2,Weight
covid,covid,1
covid,fuck,0.0833333333333333
covid,government,0.166666666666666
covid,mask,0
covid,money,0.0833333333333333
covid,news,0
covid,old,0.333333333333333
covid,public,0.0833333333333333
covid,time,0.0833333333333333
covid,vaccine,0.166666666666666
covid,work,0.166666666666666
covid,years,0
fuck,covid,0.00588235294117647
fuck,fuck,1
fuck,government,0.0411764705882352
fuck,mask,0
fuck,money,0.0529411764705882
fuck,news,0.0176470588235294
fuck,old,0.0764705882352941
fuck,public,0.0470588235294117
fuck,time,0.088235294117647
fuck,vaccine,0.00588235294117647
fuck,work,0.0529411764705882
fuck,years,0.0529411764705882
government,covid,0.0273972602739726
government,fuck,0.0958904109589041
government,government,1
government,mask,0
government,money,0.205479452054794
government,news,0.0273972602739726
government,old,0.10958904109589
government,public,0.0547945205479452
government,time,0.0958904109589041
government,vaccine,0
government,work,0.150684931506849
government,years,0.0547945205479452
mask,covid,0
mask,fuck,0
mask,government,0
mask,mask,1
mask,money,0
mask,news,0
mask,old,0
mask,public,0
mask,time,0
mask,vaccine,0
mask,work,0
mask,years,0
money,covid,0.0126582278481012
money,fuck,0.113924050632911
money,government,0.189873417721519
money,mask,0
money,money,1
money,news,0.0253164556962025
money,old,0.0886075949367088
money,public,0.0379746835443038
money,time,0.126582278481012
money,vaccine,0.0126582278481012
money,work,0.0759493670886076
money,years,0.050632911392405
news,covid,0
news,fuck,0.0909090909090909
news,government,0.0606060606060606
news,mask,0
news,money,0.0606060606060606
news,news,1
news,old,0.181818181818181
news,public,0.0606060606060606
news,time,0.151515151515151
news,vaccine,0
news,work,0.0606060606060606
news,years,0.0606060606060606
old,covid,0.0347826086956521
old,fuck,0.113043478260869
old,government,0.0695652173913043
old,mask,0
old,money,0.0608695652173913
old,news,0.0521739130434782
old,old,1
old,public,0.0347826086956521
old,time,0.147826086956521
old,vaccine,0.0260869565217391
old,work,0.0956521739130434
old,years,0.0869565217391304
public,covid,0.0161290322580645
public,fuck,0.129032258064516
public,government,0.064516129032258
public,mask,0
public,money,0.0483870967741935
public,news,0.032258064516129
public,old,0.064516129032258
public,public,1
public,time,0.0967741935483871
public,vaccine,0
public,work,0.0806451612903225
public,years,0.0483870967741935
time,covid,0.008
time,fuck,0.12
time,government,0.056
time,mask,0
time,money,0.08
time,news,0.04
time,old,0.136
time,public,0.048
time,time,1
time,vaccine,0.008
time,work,0.08
time,years,0.064
vaccine,covid,0.153846153846153
vaccine,fuck,0.0769230769230769
vaccine,government,0
vaccine,mask,0
vaccine,money,0.0769230769230769
vaccine,news,0
vaccine,old,0.23076923076923
vaccine,public,0
vaccine,time,0.0769230769230769
vaccine,vaccine,1
vaccine,work,0
vaccine,years,0
work,covid,0.0344827586206896
work,fuck,0.155172413793103
work,government,0.189655172413793
work,mask,0
work,money,0.103448275862068
work,news,0.0344827586206896
work,old,0.189655172413793
work,public,0.0862068965517241
work,time,0.172413793103448
work,vaccine,0
work,work,1
work,years,0.155172413793103
years,covid,0
years,fuck,0.14516129032258
years,government,0.064516129032258
years,mask,0
years,money,0.064516129032258
years,news,0.032258064516129
years,old,0.161290322580645
years,public,0.0483870967741935
years,time,0.129032258064516
years,vaccine,0
years,work,0.14516129032258
years,years,1
